APPLICATION_NUMBER,TARGET
123724268,102040.0
123456549,160174.33333333334
123428178,155973.66666666666
123619984,98753.16666666667
123671104,20516.666666666668
123632747,24890.0
123728867,78746.16666666667
123459592,139912.66666666666
123595888,4084.6666666666665
123480224,23932.333333333332
123471321,104092.83333333333
123725319,78246.66666666667
123500343,63803.333333333336
123654690,142081.0
123434840,30584.666666666668
123519890,122595.16666666667
123464497,149070.0
123689418,11764.666666666666
123699541,49178.666666666664
123667053,110658.33333333333
123493724,107736.33333333333
123540873,512.6666666666666
123683158,112013.33333333333
123675730,30215.0
123569456,119183.0
123590315,64843.0
123608042,158100.66666666666
123637247,24788.333333333332
123696300,44437.666666666664
123645299,74914.0
123478448,9210.666666666666
123552626,128931.33333333333
123660023,116737.33333333333
123458715,83820.0
123673488,7146.0
123445200,2477.0
123728923,106121.83333333333
123609395,50821.666666666664
123598270,93620.66666666667
123625898,34913.666666666664
123473077,37803.0
123545605,29312.666666666668
123447425,103071.33333333333
123433257,24352.666666666668
123468285,119830.33333333333
123699079,152175.0
123720024,79782.66666666667
123488000,162576.33333333334
123468623,65793.33333333333
123673653,5205.333333333333
123438396,43133.666666666664
123478434,100400.33333333333
123573573,74415.16666666667
123663154,100824.16666666667
123534174,100051.0
123448203,91661.83333333333
123491207,64366.0
123486104,67321.66666666667
123672936,49179.0
123440414,73254.66666666667
123708919,42574.333333333336
123436816,38280.333333333336
123565375,46266.333333333336
123717492,68154.33333333333
123496348,106766.33333333333
123543275,117469.5
123651430,112847.16666666667
123594082,146666.66666666666
123506762,92147.33333333333
123697915,113440.33333333333
123675858,108405.33333333333
123652118,104508.66666666667
123560179,30931.0
123570441,125061.5
123574171,99347.33333333333
123658397,34045.0
123557517,40464.0
123459087,101185.83333333333
123616578,17948.0
123707428,126109.33333333333
123455128,157694.66666666666
123576408,102993.5
123478469,19704.0
123511244,127762.66666666667
123613368,162756.33333333334
123508859,12565.666666666666
123447568,63765.333333333336
123561385,50069.0
123462302,123564.33333333333
123583551,73594.33333333333
123680994,159583.33333333334
123460039,53546.333333333336
123595981,118768.83333333333
123511880,112367.33333333333
123658934,122194.0
123674856,119265.66666666667
123629953,109386.66666666667
123674296,13366.666666666666
123680752,87625.33333333333
123493031,9683.0
123426225,96604.16666666667
123696163,103408.83333333333
123609069,100105.66666666667
123608197,3333.3333333333335
123682131,7586.333333333333
123548371,29350.666666666668
123666065,9369.666666666666
123691224,89756.66666666667
123610127,29730.333333333332
123609811,13423.333333333334
123603556,160049.66666666666
123576819,136886.0
123666101,23437.0
123599019,36108.333333333336
123714219,42787.0
123450631,67947.0
123591297,74907.33333333333
123640295,122944.0
123435383,75007.33333333333
123648025,6110.666666666667
123607172,51049.333333333336
123576615,130472.0
123689086,3797.6666666666665
123431889,2708.6666666666665
123433520,83001.66666666667
123552179,45501.666666666664
123572473,22968.0
123521600,45330.0
123571125,34498.333333333336
123532513,63680.333333333336
123599387,100671.33333333333
123617258,141909.33333333334
123492753,165092.66666666666
123570720,43844.666666666664
123571431,118053.0
123507927,161406.66666666666
123591436,142877.33333333334
123626222,160076.66666666666
123638226,11034.0
123655607,24426.333333333332
123500036,92094.33333333333
123430009,123808.16666666667
123695265,149337.66666666666
123537332,88143.66666666667
123665539,150155.0
123501885,83865.33333333333
123686004,93638.66666666667
123724589,119980.16666666667
123692159,140721.33333333334
123671030,71787.5
123484855,105015.0
123442196,32165.0
123641644,56854.0
123628192,71888.66666666667
123441332,68666.66666666667
123709933,75751.16666666667
123525643,120324.16666666667
123655422,13554.0
123676869,160313.33333333334
123576991,13197.666666666666
123691511,43713.666666666664
123590563,14550.666666666666
123606274,24960.666666666668
123685539,107563.5
123712086,20508.666666666668
123439493,94361.0
123725031,50164.333333333336
123438049,31038.333333333332
123499584,76609.33333333333
123694174,149251.66666666666
123573618,90789.5
123496241,134670.0
123452939,37322.333333333336
123618852,144018.33333333334
123492311,147004.33333333334
123493216,149289.0
123534290,159344.0
123490413,55065.0
123674282,102353.33333333333
123555380,155188.0
123456321,14147.0
123536170,58362.333333333336
123652190,155931.33333333334
123552380,155514.33333333334
123495749,41619.333333333336
123665864,154527.66666666666
123597405,20209.666666666668
123496507,22853.0
123482113,14843.666666666666
123462055,26681.0
123682157,22624.333333333332
123703385,46163.333333333336
123432509,2009.6666666666667
123630016,151944.0
123506364,71607.66666666667
123680991,7108.333333333333
123496863,109809.0
123714126,14545.0
123588643,84023.33333333333
123577735,21404.0
123499268,116389.33333333333
123713945,37892.666666666664
123430500,78196.66666666667
123504335,159423.66666666666
123576696,159196.33333333334
123703429,110018.33333333333
123698704,22321.0
123665335,128112.66666666667
123569862,52071.0
123485895,18091.0
123679092,74557.66666666667
123656332,39726.666666666664
123705996,161362.0
123701874,94546.33333333333
123653512,69281.66666666667
123536231,151532.0
123479428,53866.666666666664
123630707,104708.5
123619817,78858.0
123681462,106989.5
123611410,81054.33333333333
123564670,69053.66666666667
123459040,42713.666666666664
123726057,100697.5
123624839,150159.0
123575870,75828.33333333333
123561429,159174.33333333334
123519183,38459.333333333336
123519881,90301.0
123727183,98889.66666666667
123622905,30939.0
123609128,149530.33333333334
123683566,161758.0
123606681,162185.66666666666
123652413,46702.0
123708269,155595.66666666666
123711013,11207.333333333334
123556691,24379.333333333332
123721561,141311.66666666666
123702835,142825.33333333334
123483517,142330.0
123725101,104377.33333333333
123658312,70114.0
123703391,125134.66666666667
123498197,145433.33333333334
123449019,90785.33333333333
123653882,84779.66666666667
123586486,3199.0
123610487,141283.33333333334
123679327,31282.0
123673392,21437.0
123661393,66056.0
123457415,73005.66666666667
123659635,7256.333333333333
123634239,17502.0
123430996,61951.666666666664
123671944,141331.33333333334
123598860,30561.666666666668
123614404,106907.5
123552108,120786.33333333333
123575779,69573.66666666667
123606379,86288.83333333333
123676060,102939.33333333333
123548820,105838.33333333333
123485786,9707.666666666666
123503051,148319.0
123664515,103524.5
123598454,86003.33333333333
123559220,153552.66666666666
123525508,68029.66666666667
123461947,95591.0
123628510,112077.33333333333
123444892,142851.66666666666
123598346,130602.0
123602122,69270.66666666667
123548716,115830.33333333333
123637505,57889.666666666664
123612575,38150.0
123462279,57128.333333333336
123592793,96697.33333333333
123582892,75437.0
123611064,36581.0
123614860,108253.83333333333
123596548,147119.66666666666
123643469,30024.0
123494414,16384.666666666668
123483589,10322.0
123556084,141191.33333333334
123721051,3830.0
123450541,125778.66666666667
123437585,85253.66666666667
123481754,57891.0
123649740,97219.66666666667
123527684,155545.0
123429040,162767.0
123449777,66582.0
123495100,91141.33333333333
123557624,148489.0
123481937,2531.0
123718429,119912.33333333333
123663519,23553.333333333332
123540365,11772.666666666666
123444261,108440.0
123622149,37283.333333333336
123650637,26046.666666666668
123534000,124341.0
123600570,135266.0
123646237,10317.0
123454388,126290.16666666667
123454153,142985.66666666666
123644089,125055.16666666667
123555068,88724.33333333333
123698426,100099.66666666667
123433404,46397.333333333336
123546695,140184.33333333334
123505780,120267.16666666667
123685819,159016.0
123608882,23392.333333333332
123696828,110519.66666666667
123678755,103103.33333333333
123545322,149744.0
123541941,159179.0
123451395,98180.33333333333
123439808,132853.0
123571852,97819.5
123691980,60263.0
123550091,95506.16666666667
123442292,109422.0
123709056,9185.333333333334
123641420,1842.3333333333333
123682623,110650.66666666667
