APPLICATION_NUMBER,TARGET
123724268,93356.0
123456549,160619.0
123428178,156383.0
123619984,92397.0
123671104,21079.5
123632747,21570.0
123728867,77631.5
123459592,138637.5
123595888,2731.5
123480224,24588.5
123471321,103071.5
123725319,74514.0
123500343,55359.0
123654690,144536.5
123434840,32810.5
123519890,123975.0
123464497,151274.0
123689418,11076.0
123699541,54819.0
123667053,109664.5
123493724,110020.0
123540873,679.5
123683158,113455.0
123675730,33947.5
123569456,110721.5
123590315,60966.0
123608042,157436.0
123637247,23381.5
123696300,44122.5
123645299,82186.0
123478448,10792.5
123552626,123817.5
123660023,129934.0
123458715,89882.5
123673488,6763.5
123445200,1594.5
123728923,99950.0
123609395,56065.0
123598270,94888.5
123625898,34600.0
123473077,33816.5
123545605,28267.0
123447425,98744.5
123433257,26173.0
123468285,119939.5
123699079,155358.5
123720024,76242.5
123488000,162525.0
123468623,67447.5
123673653,5283.0
123438396,43634.0
123478434,87300.0
123573573,76153.5
123663154,101779.0
123534174,96097.5
123448203,91199.0
123491207,67334.5
123486104,66526.0
123672936,49452.5
123440414,68469.0
123708919,36934.0
123436816,36243.5
123565375,45375.5
123717492,69413.0
123496348,106950.5
123543275,122350.0
123651430,115323.0
123594082,146055.5
123506762,94121.0
123697915,106294.5
123675858,117570.5
123652118,103564.0
123560179,30047.5
123570441,127935.5
123574171,113505.5
123658397,36039.5
123557517,47915.5
123459087,98029.5
123616578,17174.0
123707428,124662.5
123455128,156605.5
123576408,105139.0
123478469,18927.5
123511244,126818.5
123613368,163121.0
123508859,13951.0
123447568,61957.5
123561385,50876.5
123462302,121646.5
123583551,70768.5
123680994,159582.0
123460039,54316.0
123595981,117907.0
123511880,112147.0
123658934,113584.5
123674856,115682.0
123629953,114499.5
123674296,13959.0
123680752,85518.5
123493031,9360.0
123426225,94834.0
123696163,108351.5
123609069,104487.0
123608197,4020.5
123682131,6485.0
123548371,30230.0
123666065,8645.0
123691224,88255.5
123610127,32174.0
123609811,13165.0
123603556,160367.5
123576819,137477.5
123666101,21545.5
123599019,39342.0
123714219,48491.0
123450631,65382.5
123591297,75168.0
123640295,121479.5
123435383,78460.5
123648025,6626.5
123607172,45668.5
123576615,134050.0
123689086,3748.5
123431889,2636.5
123433520,83300.0
123552179,42972.0
123572473,23193.0
123521600,46534.5
123571125,34679.5
123532513,59692.0
123599387,99693.5
123617258,142251.5
123492753,165089.0
123570720,45398.0
123571431,130075.0
123507927,160924.5
123591436,139297.5
123626222,160472.0
123638226,10437.0
123655607,29343.5
123500036,72670.5
123430009,128278.5
123695265,148232.0
123537332,90727.5
123665539,150748.0
123501885,82646.0
123686004,98088.0
123724589,121954.0
123692159,139188.5
123671030,68222.0
123484855,96118.0
123442196,28948.5
123641644,57265.0
123628192,78264.5
123441332,75071.5
123709933,74306.5
123525643,122586.0
123655422,10201.5
123676869,161242.0
123576991,12671.5
123691511,47418.5
123590563,12246.5
123606274,23662.0
123685539,113379.5
123712086,15696.5
123439493,94442.5
123725031,53916.0
123438049,32356.5
123499584,76535.0
123694174,150523.0
123573618,86833.0
123496241,134981.0
123452939,35918.5
123618852,146416.5
123492311,147465.5
123493216,149266.5
123534290,157569.5
123490413,56116.5
123674282,108677.0
123555380,154951.5
123456321,13143.5
123536170,53065.5
123652190,154289.5
123552380,155762.5
123495749,41171.5
123665864,154329.0
123597405,20070.5
123496507,23692.5
123482113,15303.0
123462055,24725.0
123682157,18516.0
123703385,48526.5
123432509,2217.0
123630016,149866.5
123506364,75543.0
123680991,7109.0
123496863,99553.0
123714126,15557.0
123588643,81893.5
123577735,16352.5
123499268,113819.5
123713945,39837.5
123430500,75378.5
123504335,160125.5
123576696,158640.0
123703429,98906.5
123698704,20220.0
123665335,125810.5
123569862,57830.5
123485895,14728.0
123679092,66652.0
123656332,36174.0
123705996,160538.5
123701874,80786.0
123653512,72658.5
123536231,157473.5
123479428,49849.5
123630707,103530.0
123619817,77926.5
123681462,107416.5
123611410,76477.5
123564670,66700.5
123459040,42234.5
123726057,95883.0
123624839,148642.0
123575870,75911.0
123561429,158930.0
123519183,38117.0
123519881,93784.5
123727183,99305.0
123622905,34765.5
123609128,149379.5
123683566,161387.0
123606681,163361.0
123652413,48821.5
123708269,153989.0
123711013,8538.0
123556691,18895.0
123721561,141136.0
123702835,141698.5
123483517,139620.5
123725101,111251.5
123658312,68511.5
123703391,122592.5
123498197,148040.0
123449019,95739.5
123653882,84340.0
123586486,1234.0
123610487,145157.0
123679327,28387.5
123673392,23528.0
123661393,68521.5
123457415,70747.0
123659635,8347.5
123634239,19287.5
123430996,66301.0
123671944,137813.0
123598860,24497.0
123614404,112395.5
123552108,121042.5
123575779,63453.5
123606379,85206.5
123676060,98949.0
123548820,112647.0
123485786,10853.5
123503051,151567.0
123664515,101754.0
123598454,88662.5
123559220,152489.5
123525508,60780.0
123461947,100269.0
123628510,115523.5
123444892,141801.0
123598346,128969.0
123602122,66979.5
123548716,110186.0
123637505,58088.5
123612575,45032.5
123462279,58427.5
123592793,92156.0
123582892,71538.5
123611064,33537.0
123614860,109313.0
123596548,144496.5
123643469,31991.5
123494414,18098.0
123483589,10920.5
123556084,140698.5
123721051,4646.0
123450541,127288.5
123437585,84758.0
123481754,54312.5
123649740,94461.5
123527684,154398.5
123429040,163780.0
123449777,63853.0
123495100,92855.5
123557624,150022.0
123481937,2966.0
123718429,116567.0
123663519,21460.0
123540365,9336.0
123444261,105959.0
123622149,40415.5
123650637,23607.0
123534000,120065.5
123600570,136415.5
123646237,12784.0
123454388,130193.0
123454153,142441.0
123644089,129139.0
123555068,87711.0
123698426,99169.0
123433404,52707.0
123546695,144001.0
123505780,125876.5
123685819,159235.5
123608882,23454.5
123696828,111047.5
123678755,109190.5
123545322,149116.5
123541941,160323.5
123451395,84159.5
123439808,134435.0
123571852,95974.0
123691980,58135.0
123550091,91506.0
123442292,121156.0
123709056,8624.5
123641420,2212.5
123682623,104797.0
123495589,6285.0
123463445,67547.0
123684118,35889.0
123489465,98104.0
123604190,34893.5
123607874,56874.5
123679172,68160.5
123646934,93787.5
123606470,69568.5
123729142,137341.0
123483737,164720.5
123654607,147997.5
123485407,59401.5
123440884,48183.0
123555440,46207.0
123646150,22089.0
123633529,106197.0
123572586,156627.5
123529503,88712.5
123650583,29058.0
123677020,47685.0
123516094,75386.0
123696710,89700.0
123531119,90862.5
123660355,119358.5
123657909,114975.5
123606420,83843.0
123513779,27326.0
123449847,104981.0
123713224,139194.5
123579200,144443.0
123565369,162364.0
123476809,62041.5
123636722,67326.0
123581037,144807.0
123541854,31671.0
123636367,68334.5
123725987,159770.0
123717848,97984.5
123544418,107588.0
123543619,23820.5
123602606,14110.0
123455879,158450.5
123601295,149129.5
123538958,120781.5
123462587,21732.0
123677363,107561.5
123644689,1508.5
123577809,11404.5
123462593,32843.0
123639102,17607.0
123611080,32398.0
123669243,138683.0
123450935,30592.5
123678610,161581.0
123673769,49913.0
123615898,148627.0
123579560,33105.5
123659815,6360.5
123543624,11822.5
123699678,21298.5
123431269,26291.5
123707544,22359.0
123681853,70554.0
123429058,44744.5
123588610,157561.0
123590900,4203.5
123507575,33560.0
123698605,148598.5
123564683,125044.0
123540755,136918.5
123642649,145436.0
123533582,34225.0
123549528,19982.0
123661951,10929.0
123660285,155835.5
123656929,144742.5
123503600,74853.0
123707699,150070.0
123661001,18530.0
123608825,28371.5
123693693,165113.5
123486091,154166.5
123703910,39888.0
123425443,122421.0
123484321,12818.0
123559404,157869.5
123504246,78868.0
123477217,41060.0
123689685,157997.0
123523123,144032.5
123459313,80963.0
123520611,132244.5
123427062,72637.5
123559891,163602.0
123613692,75003.0
123656988,9319.0
123703706,121363.5
123551214,136324.5
123615994,28247.5
123688273,56405.0
123666976,145665.5
123513114,158205.0
123604250,66115.0
123654082,16197.5
123636224,164133.0
123549108,30509.5
123672991,110553.5
123687822,130492.0
123464046,52625.0
123695595,73447.5
123671167,154280.0
123603658,7190.5
123513251,113294.0
123710906,93138.0
123675318,34076.5
123463870,144192.5
123607824,140675.5
123472971,21222.5
123690383,150297.0
123636762,144092.0
123524861,114592.5
123490002,651.0
123587773,80952.5
123466912,152407.0
123708859,57824.5
123518418,140336.5
123719527,145944.5
123642704,19548.5
123555993,132140.5
123590906,28176.0
123484942,145489.0
123628018,33943.0
123462260,58252.5
123484840,77136.5
123563842,132556.0
123433369,44082.0
123726753,11213.0
123516134,163536.0
123686218,154763.0
123553259,79704.5
123497350,58285.0
123584871,41156.5
123712125,7151.5
123484061,133357.5
123625893,111321.0
123646920,69151.0
123451446,23055.0
123442361,145474.5
123641678,133998.5
123633617,37930.5
123680919,128865.0
123497969,160351.0
123483126,30810.5
123495547,57948.5
123688483,70053.0
123502232,135103.5
123689548,29642.5
123502280,44621.5
123487175,156029.0
123547383,25440.0
123506275,104360.0
123717674,133212.5
123583718,61527.0
123686611,163052.5
123643251,19439.0
123595365,15241.5
123683581,47345.0
123479608,44035.0
123455648,6802.5
123715984,97385.5
123466804,31475.5
123677928,151294.0
123437685,33930.5
123545142,160746.5
123683585,95983.5
123589632,44709.0
123675679,3620.0
123718435,136468.5
123585349,108511.5
123541700,122095.0
123455139,93940.0
123708637,94682.0
123474266,103152.5
123541029,83558.0
123568092,112449.5
123508233,100211.0
123504509,148425.0
123447772,158480.0
123698273,141104.0
123611178,58903.0
123504186,81244.0
123672763,157361.0
123455628,158146.5
123641502,11755.0
123643766,27591.0
