APPLICATION_NUMBER,TARGET
123724268,0.08471935
123456549,0.22861004
123428178,0.1885095
123619984,0.0833558
123671104,0.029571617
123632747,0.035459638
123728867,0.06890021
123459592,0.1277345
123595888,0.023378637
123480224,0.031063994
123471321,0.08299101
123725319,0.07382439
123500343,0.06869608
123654690,0.11306485
123434840,0.032777954
123519890,0.08481289
123464497,0.1352271
123689418,0.026672726
123699541,0.03876698
123667053,0.08345373
123493724,0.08286532
123540873,0.017360572
123683158,0.08315776
123675730,0.031118235
123569456,0.11053302
123590315,0.0632482
123608042,0.23040064
123637247,0.033515118
123696300,0.042851962
123645299,0.052997787
123478448,0.0229375
123552626,0.118087865
123660023,0.07956011
123458715,0.06240191
123673488,0.02400013
123445200,0.021817401
123728923,0.08443163
123609395,0.04009024
123598270,0.08058647
123625898,0.037525922
123473077,0.043294556
123545605,0.035404105
123447425,0.08338432
123433257,0.030146416
123468285,0.08477925
123699079,0.13950086
123720024,0.07517222
123488000,0.29210624
123468623,0.054606102
123673653,0.022323297
123438396,0.04115994
123478434,0.09193655
123573573,0.061735786
123663154,0.08271524
123534174,0.08306609
123448203,0.08226446
123491207,0.051583268
123486104,0.05994203
123672936,0.04506055
123440414,0.07054902
123708919,0.048410967
123436816,0.04128284
123565375,0.04468912
123717492,0.057159293
123496348,0.082993105
123543275,0.08305273
123651430,0.08306045
123594082,0.14806183
123506762,0.07683367
123697915,0.0938895
123675858,0.07922406
123652118,0.082993105
123560179,0.036064837
123570441,0.08468672
123574171,0.06180662
123658397,0.034715198
123557517,0.03249758
123459087,0.08304194
123616578,0.029615078
123707428,0.0960639
123455128,0.23603523
123576408,0.08269825
123478469,0.030407941
123511244,0.09725549
123613368,0.27415723
123508859,0.025007863
123447568,0.058601625
123561385,0.044948895
123462302,0.093272015
123583551,0.06777246
123680994,0.23231784
123460039,0.04718533
123595981,0.084983185
123511880,0.083478644
123658934,0.11876005
123674856,0.09163826
123629953,0.08271738
123674296,0.026224414
123680752,0.081659935
123493031,0.025286928
123426225,0.08277105
123696163,0.08232534
123609069,0.080969796
123608197,0.020024111
123682131,0.025005812
123548371,0.033509333
123666065,0.02554894
123691224,0.08230296
123610127,0.03213881
123609811,0.02703828
123603556,0.23021238
123576819,0.10956756
123666101,0.033325933
123599019,0.03451989
123714219,0.035393447
123450631,0.06370643
123591297,0.06500446
123640295,0.09071893
123435383,0.059210528
123648025,0.022342216
123607172,0.054097116
123576615,0.08665775
123689086,0.021594334
123431889,0.020802323
123433520,0.07012285
123552179,0.046260428
123572473,0.031015033
123521600,0.04160445
123571125,0.036812894
123532513,0.062368583
123599387,0.082843445
123617258,0.12386875
123492753,0.5051366
123570720,0.04033339
123571431,0.0824028
123507927,0.28306866
123591436,0.15762478
123626222,0.22862668
123638226,0.026244208
123655607,0.027339235
123500036,0.09974624
123430009,0.08383219
123695265,0.1650552
123537332,0.07069622
123665539,0.1527837
123501885,0.07451152
123686004,0.07266867
123724589,0.08405636
123692159,0.13221893
123671030,0.06763079
123484855,0.086250484
123442196,0.039130542
123641644,0.049890034
123628192,0.052094363
123441332,0.04976052
123709933,0.0675127
123525643,0.08402793
123655422,0.02993682
123676869,0.21881476
123576991,0.027189534
123691511,0.03794294
123590563,0.029462537
123606274,0.033495523
123685539,0.08251442
123712086,0.034760777
123439493,0.082449704
123725031,0.041461416
123438049,0.033918366
123499584,0.06698002
123694174,0.14299282
123573618,0.08269825
123496241,0.105901256
123452939,0.03997028
123618852,0.11822796
123492311,0.14050491
123493216,0.1543843
123534290,0.29842797
123490413,0.047804352
123674282,0.07876335
123555380,0.19255003
123456321,0.02804019
123536170,0.059986673
123652190,0.22760268
123552380,0.18737645
123495749,0.041377876
123665864,0.1866166
123597405,0.030033698
123496507,0.030372009
123482113,0.027028222
123462055,0.034972895
123682157,0.03511535
123703385,0.040730394
123432509,0.019658124
123630016,0.19626729
123506364,0.055572987
123680991,0.02354462
123496863,0.098507985
123714126,0.026384061
123588643,0.076931074
123577735,0.035448335
123499268,0.08541956
123713945,0.03674965
123430500,0.07172533
123504335,0.21379581
123576696,0.2418979
123703429,0.10224392
123698704,0.032989103
123665335,0.10321276
123569862,0.040212236
123485895,0.032124
123679092,0.07959521
123656332,0.043928497
123705996,0.3014986
123701874,0.08574881
123653512,0.05463767
123536231,0.11941989
123479428,0.054165162
123630707,0.08303116
123619817,0.0687152
123681462,0.08299101
123611410,0.079372585
123564670,0.06437937
123459040,0.042039026
123726057,0.083265774
123624839,0.17458196
123575870,0.06621724
123561429,0.23332366
123519183,0.03943919
123519881,0.071106926
123727183,0.08267243
123622905,0.031383373
123609128,0.1567427
123683566,0.28679258
123606681,0.23560233
123652413,0.04134878
123708269,0.22294395
123711013,0.028224874
123556691,0.03743218
123721561,0.12522605
123702835,0.13680708
123483517,0.14744012
123725101,0.079964966
123658312,0.06393081
123703391,0.098330595
123498197,0.12100021
123449019,0.0688285
123653882,0.07377243
123586486,0.023557048
123610487,0.10483668
123679327,0.03834301
123673392,0.02856065
123661393,0.053574484
123457415,0.06721045
123659635,0.022335807
123634239,0.02703042
123430996,0.047986332
123671944,0.15004596
123598860,0.041474607
123614404,0.08251442
123552108,0.08494067
123575779,0.06957745
123606379,0.07714385
123676060,0.083300345
123548820,0.08221749
123485786,0.023723572
123503051,0.12569736
123664515,0.08303116
123598454,0.06869365
123559220,0.19269887
123525508,0.07024399
123461947,0.074423395
123628510,0.082951255
123444892,0.13630304
123598346,0.105573654
123602122,0.06445631
123548716,0.092792034
123637505,0.05090189
123612575,0.031909235
123462279,0.048846424
123592793,0.08298898
123582892,0.07099973
123611064,0.041466393
123614860,0.08299101
123596548,0.16946031
123643469,0.032753162
123494414,0.026590174
123483589,0.02465947
123556084,0.12685001
123721051,0.020254798
123450541,0.08621224
123437585,0.074444175
123481754,0.056650274
123649740,0.082849756
123527684,0.21209633
123429040,0.24858657
123449777,0.06271146
123495100,0.07621871
123557624,0.138067
123481937,0.019721545
123718429,0.0919432
123663519,0.0335797
123540365,0.028274775
123444261,0.08357754
123622149,0.035205744
123650637,0.03515566
123534000,0.10355507
123600570,0.10372181
123646237,0.022534026
123454388,0.08443642
123454153,0.13318965
123644089,0.08418958
123555068,0.080134355
123698426,0.082835086
123433404,0.036637805
123546695,0.10287549
123505780,0.08315086
123685819,0.22027123
123608882,0.031374108
123696828,0.08318799
123678755,0.08038243
123545322,0.1622672
123541941,0.20281994
123451395,0.091309205
123439808,0.097333245
123571852,0.082820475
123691980,0.05620846
123550091,0.08287457
123442292,0.07410859
123709056,0.02527227
123641420,0.019103516
123682623,0.085964
123495589,0.021732237
123463445,0.049960747
123684118,0.044139393
123489465,0.089134276
123604190,0.04196363
123607874,0.04535126
123679172,0.060108136
123646934,0.08230631
123606470,0.056587584
123729142,0.12310443
123483737,0.3975497
123654607,0.15605754
123485407,0.062798575
123440884,0.0500774
123555440,0.03984153
123646150,0.032248847
123633529,0.080954954
123572586,0.20583668
123529503,0.0692254
123650583,0.028065303
123677020,0.041661985
123516094,0.060420852
123696710,0.082363084
123531119,0.08267724
123660355,0.100279965
123657909,0.08350491
123606420,0.0826244
123513779,0.031932287
123449847,0.082674466
123713224,0.1177877
123579200,0.13753243
123565369,0.3257417
123476809,0.059950143
123636722,0.056761973
123581037,0.1312834
123541854,0.034544893
123636367,0.049786568
123725987,0.18262815
123717848,0.08259116
123544418,0.082780324
123543619,0.0349656
123602606,0.024948714
123455879,0.19006309
123601295,0.14796034
123538958,0.10000314
123462587,0.034308422
123677363,0.08429825
123644689,0.019921968
123577809,0.024876101
123462593,0.036028795
123639102,0.032834876
123611080,0.033513647
123669243,0.13944186
123450935,0.036051508
123678610,0.2418693
123673769,0.046489812
123615898,0.12825772
123579560,0.034342088
123659815,0.02275169
123543624,0.02653404
123699678,0.030716758
123431269,0.0280877
123707544,0.027416091
123681853,0.05892216
123429058,0.04668697
123588610,0.1876858
123590900,0.019983204
123507575,0.037166275
123698605,0.14222133
123564683,0.08309282
123540755,0.103169784
123642649,0.11844309
123533582,0.035016593
123549528,0.033318542
123661951,0.025908481
123660285,0.20196411
123656929,0.1537374
123503600,0.07755144
123707699,0.13055122
123661001,0.029750416
123608825,0.029390002
123693693,0.49872112
123486091,0.19148439
123703910,0.03397428
123425443,0.08429825
123484321,0.027787149
123559404,0.19959088
123504246,0.07314187
123477217,0.039895736
123689685,0.24450688
123523123,0.15122642
123459313,0.076106414
123520611,0.08445144
123427062,0.067301214
123559891,0.3244329
123613692,0.06965414
123656988,0.027378947
123703706,0.0844597
123551214,0.11645143
123615994,0.040518817
123688273,0.045983385
123666976,0.16066766
123513114,0.2563409
123604250,0.06613797
123654082,0.026475227
123636224,0.34635475
123549108,0.034700852
123672991,0.06964094
123687822,0.11279936
123464046,0.046597548
123695595,0.064332925
123671167,0.2060061
123603658,0.024276432
123513251,0.08423929
123710906,0.09526302
123675318,0.04068669
123463870,0.144261
123607824,0.10024349
123472971,0.030141968
123690383,0.1522113
123636762,0.14186859
123524861,0.08293397
123490002,0.018108785
123587773,0.06767579
123466912,0.17865713
123708859,0.052376695
123518418,0.15014093
123719527,0.1315387
123642704,0.024534935
123555993,0.08465825
123590906,0.035772942
123484942,0.1312532
123628018,0.0314733
123462260,0.043871865
123484840,0.07013361
123563842,0.11453859
123433369,0.047153473
123726753,0.025959805
123516134,0.23380895
123686218,0.17956024
123553259,0.06574045
123497350,0.039164506
123584871,0.047418855
123712125,0.023717988
123484061,0.08483794
123625893,0.08305273
123646920,0.0617219
123451446,0.030180942
123442361,0.16376258
123641678,0.112316154
123633617,0.03285727
123680919,0.08402959
123497969,0.27845022
123483126,0.033187874
123495547,0.05910284
123688483,0.06722999
123502232,0.11344711
123689548,0.031340856
123502280,0.03715576
123487175,0.16195314
123547383,0.027553415
123506275,0.08232534
123717674,0.1282256
123583718,0.047794122
123686611,0.33633834
123643251,0.02522402
123595365,0.025990468
123683581,0.049600415
123479608,0.04572639
123455648,0.020774445
123715984,0.08329703
123466804,0.03627964
123677928,0.16561866
123437685,0.03249713
123545142,0.24103944
123683585,0.08352681
123589632,0.056204736
123675679,0.024264887
123718435,0.111693405
123585349,0.082516156
123541700,0.084814645
123455139,0.064837195
123708637,0.08286532
123474266,0.08253063
123541029,0.061520297
123568092,0.08302213
123508233,0.08230428
123504509,0.14865184
123447772,0.22385216
123698273,0.117668904
123611178,0.05473751
123504186,0.06832032
123672763,0.2121526
123455628,0.22708862
123641502,0.032715674
123643766,0.029432336
123472157,0.04434865
123552163,0.09595892
123489059,0.20560269
123681260,0.08290632
123726514,0.08334334
123561588,0.04657861
123549881,0.05692033
123591467,0.08232534
123500488,0.17129464
123648638,0.08423077
123674636,0.08271738
123662102,0.05054893
123575264,0.024138525
123529009,0.24839719
123608559,0.029020641
123485249,0.029451158
123681243,0.033624906
123446133,0.021288022
123660290,0.12376499
123555612,0.02394725
123628689,0.029378165
123701642,0.05174341
123449748,0.084327534
123698107,0.20768318
123428876,0.042120196
123512528,0.117378734
123426953,0.08451118
123622629,0.02933448
123606664,0.1403635
123704197,0.14038788
123728712,0.020542972
123432742,0.10025734
123522497,0.26590925
123572320,0.03855042
123723551,0.082840934
123697955,0.08247053
123672276,0.07061429
123549105,0.12361008
123603391,0.09671628
123638144,0.039944943
123700677,0.042869557
123514036,0.06419393
123646327,0.11285905
123503794,0.04261889
123662732,0.054035477
123598450,0.030988956
123660430,0.07282208
123472390,0.037053935
123580504,0.09657126
123456003,0.12763073
123560738,0.08372764
123502102,0.031092355
123511260,0.15104833
123682993,0.038228977
123675526,0.05889546
123536093,0.08423296
123708572,0.0481837
123474070,0.088127695
123446701,0.469889
123600179,0.083174735
123503541,0.04657115
123659318,0.22129111
123487844,0.19805294
123520561,0.17655604
123710379,0.042073824
123531572,0.038094085
123721710,0.08290316
123474989,0.11923903
123562118,0.06845817
123614083,0.16538033
123469707,0.020286541
123697586,0.057242393
123701436,0.028018136
123429123,0.034486223
123506473,0.09771328
123497814,0.0828044
123641541,0.08232534
123662084,0.036929604
123687027,0.08287109
123597400,0.08341602
123479695,0.08230428
123724131,0.082604796
123728483,0.15316227
123651501,0.028989572
123560993,0.022185182
123460330,0.10722959
123500844,0.020136073
123481830,0.037177537
123688931,0.029966537
123458045,0.09350349
123548288,0.045542736
123712411,0.08320756
123534032,0.070572674
123590530,0.45300278
123539826,0.061570697
123462257,0.060732614
123516883,0.082725495
123462841,0.082951255
123682283,0.0769221
123605712,0.08319249
123712724,0.1420069
123611258,0.027841637
123713754,0.023748115
123656940,0.039931577
123460399,0.18571825
123548908,0.037217602
123607111,0.03229563
123648829,0.044012748
123489790,0.08436034
123516591,0.049091823
123715652,0.02257729
123667136,0.33175188
123426441,0.040074266
123567100,0.038250748
123636640,0.023208028
123683319,0.09969678
123480631,0.30647796
123452366,0.26439476
123593673,0.29013246
123484710,0.083082736
123447029,0.11058055
123512390,0.08451118
123655783,0.04292021
123503839,0.031463925
123524459,0.0984175
123692537,0.041160062
123674493,0.082780324
123626995,0.042855125
123646065,0.034236073
123588860,0.060498882
123490970,0.025775218
123460998,0.3359901
123592408,0.058105946
123668387,0.08347482
123458611,0.03592691
123683945,0.08369076
123431278,0.15697823
123624516,0.0938229
123725812,0.093837194
123484993,0.070538886
123617117,0.02654765
123700209,0.022826348
123640339,0.045769047
123623221,0.10681752
123474436,0.27560547
123424224,0.03805661
123603341,0.03861803
123427002,0.13876036
123511220,0.06741406
123495861,0.030347314
123472896,0.034097265
123683272,0.028236803
123446981,0.25586686
123445284,0.057507504
123723277,0.03035613
123513384,0.11075751
123497583,0.023282183
123593403,0.058237232
123711622,0.030388158
123557983,0.08707261
123560199,0.04399232
123497169,0.0828418
123706240,0.044508804
123441885,0.16244379
123577895,0.058013894
123434208,0.08646924
123667148,0.09339799
123677646,0.13834468
123615438,0.042385377
123465339,0.1366759
123723129,0.07611675
123711723,0.031834416
123549425,0.13464862
123632916,0.07396784
123489359,0.08738591
123471284,0.051621795
123490149,0.041619696
123513904,0.08426939
123661331,0.1676817
123651707,0.083403185
123431964,0.05327745
123561580,0.083115585
123423914,0.08290547
123525517,0.15161058
123694116,0.06817876
123545478,0.03666847
123460486,0.05204434
123617285,0.14828596
123683345,0.04768946
123563520,0.07259697
123545623,0.06746175
123659708,0.038174458
123487408,0.08590115
123430381,0.08288516
123686050,0.14633945
123466023,0.26518682
123496372,0.040430315
123710487,0.097282946
123523278,0.07781237
123563801,0.08304194
123594630,0.12763247
123591505,0.03268039
